Cluster,SiteName,Site Code,NGS CORS,Lat dec,Long dec,elip ht
North Central,P784-Montague,P784,True,41.83081194444445,122.42044037222223,802.6909
North Central,P820 Powers,P820,False,42.861847994444446,124.05392855277778,69.21
North Central,PCS2 Dallas,PCS2,False,44.91907403888889,123.32782354166666,95.8
North Central,PDTN Pndltn-new,PDTN,True,45.66594220277778,118.75691216666667,394.909
North Central,PDXA-Airport,PDXA,False,45.59686895833334,122.6092163361111,-4.642
North Central,PKDL- Parkdale,PKDL,False,45.51829915277778,121.56366335277778,512.142
North Central,PLNA-Paulina,PLNA,False,44.13206157222222,119.96677295555556,1110.6709
North Central,PNVL Prineville,PNVL,False,44.31291840555555,120.84650249722222,873.6949
North Central,PSPT-Prospect,PSPT,False,42.754840875,122.48949018333333,773.7109
North Central,PTSG-CrescentCty,PTSG,True,41.78273761944445,124.25518367777778,-9.781
North Central,PTSN-Paterson,PTSN,False,45.93915426388889,119.60973839722222,119.026
North Central,RDL2-Riddle,RDL2,False,42.95445575555556,123.36220053888889,199.189
North Central,REDM-Redmond,REDM,True,44.259763005555556,121.14786540277778,920.342
North Central,REED-Reedsport,REED,False,43.70100345,124.10778159444443,-13.784
North Central,RSBG-Roseburg,RSBG,True,43.235013844444445,123.35936885833333,135.623
North Central,SEAS-Seaside,SEAS,False,45.98422169166667,123.92240573055555,-11.705
North Central,SKCO StevensWA,SKCO,False,45.69424285555555,121.88394278055556,43.009
North Central,SPRA-SPRAY,SPRA,False,44.82668743333333,119.7762889611111,567.2469
North Central,STAY-Stayton,STAY,True,44.83070344722223,122.82084259166666,111.236
North Central,TDLS-The Dalles,TDLS,False,45.60770679444445,121.12949016944444,26.9279
North Central,TILL-Tillamook,TILL,False,45.455125622222226,123.83075065,-4.247
North Central,TPW2_TonguePt,TPW2,False,46.207368683333335,123.76834650277777,-14.555
North Central,UKIA-Ukiah,UKIA,False,45.13279336944444,118.93656592777778,1009.4809
North Central,WALA-Walla Walla,WALA,False,46.09150558333334,118.2581264111111,369.2349
North Central,WAMC-Wamic,WAMC,False,45.22382570833334,121.27361502777778,528.536
North Central,WMSG-WarmSpring,WMSG,False,45.13126047222222,121.5972588861111,1048.4319
North Central,YONC-Bozwell Spr,YONC,False,43.634107569444446,123.29828442222222,87.296
